env_step,episode,ep_len,episodic_return,avg_return_100,actor_loss_ep_mean,critic_loss_ep_mean,entropy_ep_mean,total_loss_ep_mean,updates_in_episode
513,1,513,155.0,155.0,,,,,0
1254,2,741,215.0,185.0,,,,,0
1616,3,362,65.0,145.0,,,,,0
2414,4,798,395.0,207.5,,,,,0
3230,5,816,200.0,206.0,,,,,0
3721,6,491,165.0,199.16666666666666,,,,,0
4667,7,946,260.0,207.85714285714286,,,,,0
5850,8,1183,270.0,215.625,,,,,0
6661,9,811,390.0,235.0,,,,,0
7065,10,404,60.0,217.5,,,,,0
7422,11,357,40.0,201.36363636363637,,,,,0
7689,12,267,45.0,188.33333333333334,,,,,0
8151,13,462,80.0,180.0,,,,,0
8526,14,375,90.0,173.57142857142858,,,,,0
9017,15,491,110.0,169.33333333333334,,,,,0
9709,16,692,380.0,182.5,,,,,0
